0,017307
0,013331
0,013658
0,011943
0,011554
0,011786
0,012375
0,011626
0,011468
0,012254
0,012591
0,012523
0,012761
0,011731
0,012062
0,011673
0,011803
0,011789
0,013478
0,011835
0,011804
0,012095
0,011827
0,013266
0,011877
0,012091
0,013796
0,013497
0,012964
0,013462
0,013622
0,013049
0,013106
0,014955
0,012577
0,012641
0,011958
0,012516
0,014369
0,012713
0,012883
0,012537
0,012510
0,012392
0,012443
0,012884
0,016730
0,013657
0,013062
0,012527
0,011949
0,012283
0,011774
0,012018
0,012072
0,012351
0,012244
0,011856
0,012034
0,012170
0,011784
0,012087
0,012047
0,012287
0,011809
0,012145
0,013025
0,012399
0,012007
0,012362
0,011964
0,011954
0,011960
0,012230
0,012856
0,012327
0,011855
0,011739
0,012387
0,012117
0,011644
0,011554
0,011934
0,011837
0,011619
0,011765
0,011560
0,011782
0,011735
0,011595
0,011743
0,012501
0,011550
0,011827
0,011712
0,011499
0,011442
0,011925
0,011591
0,012330
